Silhouette,Fit,Front Neckline and Straps Shape,Front Neckline and Straps Depth,Front Neckline and Straps Detailing Style,Sleeve Fit and Style,Sleeve Length,Sleeve Detailing Style,Waist Style,Length,Hem Style,Pattern,Occasions,Persona,Predominant Colors,Background Color,product_id
A-line,Loose,Scoop neck with short sleeves,Shallow,None,Puffed sleeves,Short,None,Cinched at the natural waist with a belt,Mini,Ruffle,Tropical print,"This tropical print mini dress is perfect for summer outings, beach vacations, or casual parties. It can be dressed up with heels and a statement necklace or dressed down with sandals and a straw bag for a relaxed look.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and playful prints. She is confident, stylish, and always looking for pieces that make a statement.","['pink', 'green', 'blue']",N/A,7418311868509
A-line,Loose,Square neck with ruffled straps,Shallow,Ruffles,Sleeveless,N/A,N/A,Gathered at the natural waist,Midi,Ruffle,Tropical print,"This tropical print dress is perfect for summer events, beach getaways, or vacation wear. It can be dressed up with heels and a clutch for a night out or paired with sandals and a sun hat for a relaxed daytime look.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and playful patterns. She is confident, adventurous, and always looking for the next exciting experience.","['orange', 'green', 'pink']",N/A,7417851707485
A-line,Loose,"V-neck with short, puffed sleeves",Shallow,Gathered and pleated neckline,Puffed,Short,None,Gathered at the natural waist with a self-tie belt,Mini,Ruffle,Tropical print,"This vibrant tropical print dress is perfect for summer events, beach getaways, or casual outings. It can be dressed up with statement jewelry and heels for a night out or kept casual with sandals and a straw bag for a beach day.","The buyer persona for this dress is a woman in her 20s to 30s who loves bold, colorful fashion. She is confident and playful, and she enjoys wearing pieces that make her stand out. She is likely to be interested in fashion trends and may follow influencers or fashion bloggers for inspiration.","['yellow', 'green', 'pink']",N/A,7418270318685
A-line,Loose,Sweetheart neckline with thin straps,Medium,None,Sleeveless,N/A,N/A,Cinched at the natural waist,Maxi,Ruffle,Tropical print,"This tropical maxi dress is perfect for beach vacations, summer parties, or any warm-weather event. It can be dressed up with heels and a clutch or dressed down with sandals and a straw bag.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and tropical prints. She is confident, stylish, and always looking for the next adventure.","['yellow', 'green', 'pink']",N/A,7418268909661
A-line,Loose,"V-neck with short, puffed sleeves",Deep,Gathered at the bust,Puffed,Short,Gathered at the shoulders,Cinched at the natural waist with a drawstring,Maxi,Straight,Tropical print with parrots and palm leaves,"This vibrant maxi dress is perfect for tropical vacations, beach parties, or any event where you want to make a statement. Pair it with chunky espadrille sandals and a woven tote bag for a relaxed, summery look.","The buyer persona for this dress is a woman in her 20s to 30s who loves bold prints and vibrant colors. She is confident, adventurous, and always looking for pieces that make her stand out.","['orange', 'green', 'blue']",N/A,7418309476445
A-line,Loose,Sweetheart neckline with thin straps,Medium,Lettuce edge trim,Sleeveless,N/A,N/A,Fitted at the natural waist,Midi,Straight,Solid,"This solid-colored midi dress is versatile and can be dressed up or down, making it suitable for a range of occasions. It can be worn to work, to a party, or to a casual event. With different accessories, it can be adapted to different dress codes.","The buyer persona for this dress is a woman in her late 20s to early 40s who values style and versatility. She prefers classic, timeless pieces that can be easily mixed and matched to create multiple outfits.","['orange', 'green']",N/A,7418283950173
A-line,Loose,Straight across with thin straps,Shallow,None,Sleeveless,N/A,N/A,Fitted at the natural waist with a self-tie belt,Midi,Straight,Tropical print,"This tropical-print midi dress is perfect for summer events, vacations, and casual outings. It can be dressed up with heels and a statement necklace or dressed down with sandals and a straw bag.","The buyer persona for this dress is a woman in her 20s or 30s who loves bold, colorful fashion. She is confident and playful, and she enjoys expressing her personality through her clothing choices.","['red', 'green', 'blue']",N/A,7418306035805
Shift,Loose,Round neckline with shoulder pads,Shallow,None,Sleeveless,N/A,N/A,Gathered with a rope belt,Mini,Straight,Tropical print,"This tropical print mini dress is perfect for summer outings, beach vacations, or casual weekend wear. It can be dressed up with heels and a statement necklace for a night out or kept casual with sandals and a straw bag for daytime activities.","The buyer persona for this dress is a woman in her 20s or 30s who loves vibrant colors and playful prints. She is confident, stylish, and always looking for pieces that make a statement.","['red', 'green', 'blue']",N/A,7418307280989
A-line,Loose,V-neck with thin straps,Medium,None,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Multicolor floral embroidery,"This versatile dress is perfect for a range of occasions, from casual outings to beach vacations. Its vibrant colors and lightweight fabric make it a great choice for warm weather events. Style it with sandals or wedges and a straw bag for a relaxed, summery look.","The buyer persona for this dress is a woman in her 20s or 30s who loves bright colors and playful patterns. She's confident, adventurous, and always looking for pieces that make a statement. This dress is perfect for her personality and lifestyle.","['red', 'yellow', 'green', 'blue', 'white']",N/A,7418291093597
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",white,7418178240605
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",white,7418251444317
A-line,Loose,V-neck with kimono-style sleeves,Deep,None,"Loose, kimono-style",Three-quarter,None,Cinched at the natural waist with a self-tie belt,Maxi,Asymmetrical,Tropical floral print,"This tropical maxi dress is perfect for beach vacations, summer parties, or resort wear. The loose fit and lightweight fabric make it comfortable for warm weather, while the vibrant print adds a touch of fun and style. Pair it with flat sandals or wedges and a wide-brimmed hat for a chic, effortless look.","The buyer persona for this dress is a woman in her 20s or 30s who loves to travel and explore new places. She has a free-spirited personality and appreciates unique, eye-catching fashion pieces. She is likely to be interested in sustainable fashion and ethical brands.","['yellow', 'green', 'blue']",N/A,7418197049437
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Paisley print,"This paisley midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['red', 'orange', 'pink']",N/A,7418250920029
Tiered maxi,Loose,Collared V-neck,Deep,Eyelet embroidery,Puffed elbow sleeves,Three-quarter,Eyelet embroidery,Gathered waist with a self-tie belt,Maxi,Ruffled,Eyelet embroidery,"This stunning maxi dress is perfect for summer events, beach vacations, or even as a bridesmaid's dress. Its vibrant color and intricate embroidery make it a standout piece that will turn heads wherever you go. Pair it with espadrille sandals and a woven tote bag for a chic, effortless look.","The buyer persona for this dress is a woman in her late 20s to early 30s who loves bohemian fashion and embraces a carefree, adventurous lifestyle. She appreciates unique, eye-catching pieces that reflect her personality and values sustainable, ethically-made clothing.","['red', 'orange']",N/A,7418190364765
A-line,Loose,V-neck with thin straps,Medium,Embroidered fish design,Sleeveless,N/A,N/A,Gathered at the natural waist,Maxi,Straight,Embroidered fish design,"This embroidered maxi dress is perfect for summer events like beach parties, tropical vacations, or even as a chic resort wear. Its loose fit and lightweight fabric make it comfortable for warm weather, while the vibrant embroidery adds a touch of personality.","The buyer persona for this dress is a woman in her 20s or 30s who loves boho-chic style. She is adventurous, free-spirited, and always looking for unique pieces to add to her wardrobe.","['pink', 'white']",N/A,7418319601757
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['red', 'white']",N/A,7418361577565
A-line,Loose,Scalloped sweetheart neckline with thin straps,Medium,Embroidered scalloping,Sleeveless,N/A,N/A,Fitted at the natural waist,Mini,Scalloped,Embroidered floral and shell pattern,"This embroidered mini dress is perfect for summer events, beach vacations, or tropical getaways. It can be dressed up with espadrille wedges and a woven tote for a chic beach look or paired with sandals and a cross-body bag for a casual daytime outfit.","The buyer persona for this dress is a woman in her 20s or 30s who loves boho-chic fashion. She enjoys wearing unique, eye-catching pieces that reflect her free-spirited personality.","['red', 'white']",N/A,7418279034973
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",white,7418253836381
A-line,Loose,Butterfly-shaped cutout with thin straps,Deep,Embroidery,Sleeveless,N/A,N/A,Cinched at the natural waist,Maxi,Ruffled,Embroidered floral,"This stunning maxi dress is perfect for special occasions like evening parties, galas, or destination weddings. Its intricate embroidery and elegant silhouette make it a show-stopper. Style it with statement earrings and heels for a glamorous look.",The buyer persona for this dress is a woman in her late 20s to early 40s who appreciates unique and eye-catching fashion. She is confident and loves to make a statement with her clothing choices.,"['white', 'green']",N/A,7418300366941
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Tropical print,"This tropical-inspired midi dress is perfect for summer events, vacations, or casual outings. It can be dressed up with heels and a statement necklace for a night out or paired with sandals and a straw bag for a beach day.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and playful prints. She is confident, stylish, and always looking for pieces that make a statement.","['blue', 'green', 'yellow']",N/A,7418243579997
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",white,7418281361501
A-line,Loose,Scoop neck with shoulder pads,Shallow,None,Sleeveless,N/A,N/A,Gathered with a self-tie belt,Midi,Straight,Tropical floral print,"This tropical-inspired midi dress is perfect for summer outings, beach vacations, or casual weekend wear. It can be dressed up with statement jewelry and heels for a night out or kept casual with sandals and a straw bag for a beach day.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and tropical patterns. She is adventurous, stylish, and always looking for pieces that make a statement.","['blue', 'green', 'pink']",N/A,7418339328093
A-line,Loose,Straight across with thin straps,Shallow,None,Sleeveless,N/A,N/A,"Loose, with a tie at the waist",Maxi,Straight,Butterfly print,"This butterfly-print maxi dress is perfect for summer events, beach vacations, or casual outings. It can be dressed up with heels and a statement necklace for a night out or paired with sandals and a straw bag for a relaxed daytime look.","The buyer persona for this dress is a woman in her 20s or 30s who loves boho-chic style. She is adventurous, free-spirited, and always looking for unique pieces that reflect her personality.","['blue', 'white']",N/A,7418306330717
A-line,Loose,"Round neck with short, puffed sleeves",Shallow,None,Puffed,Short,None,Cinched at the natural waist with a self-tie belt,Mini,Ruffle,Tropical print,"This tropical print mini dress is perfect for summer outings, beach vacations, or casual parties. It can be dressed up with heels and statement jewelry or kept casual with sandals and a straw bag.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and playful prints. She is confident, stylish, and always looking for pieces that make a statement.","['pink', 'green', 'blue']",N/A,7418311868509
A-line,Loose,Square neck with ruffled straps,Shallow,Ruffles,Sleeveless,N/A,N/A,Gathered at the natural waist,Midi,Ruffle,Tropical print,"This tropical-inspired midi dress is perfect for summer events, beach getaways, or casual outings. Its vibrant colors and playful ruffles make it a great choice for anyone looking to add a touch of fun to their wardrobe.","The buyer persona for this dress is a woman in her 20s to 30s who loves bold, colorful fashion. She is confident and playful, and she enjoys wearing pieces that make her stand out. She is likely to be interested in fashion trends and enjoys experimenting with different styles.","['orange', 'green', 'pink']",N/A,7417851707485
A-line,Loose,"V-neck with short, puffed sleeves",Medium,Gathered fabric at the neckline,Puffed sleeves with elastic at the shoulders,Short,None,Gathered at the waist with a tie,Mini,Ruffle,Tropical print,"This vibrant tropical dress is perfect for summer events, beach vacations, or casual outings. It pairs well with sandals or espadrille wedges and a wide-brimmed hat for a relaxed, boho-chic look.","The buyer persona for this dress is a woman in her 20s or 30s who loves bold prints and playful styles. She is confident and adventurous, and she enjoys expressing her personality through her clothing.","['yellow', 'green', 'pink']",N/A,7418270318685
A-line,Loose,Sweetheart neckline with thin straps,Medium,None,Sleeveless,N/A,N/A,Fitted at the natural waist,Maxi,Ruffle,Tropical print,"This tropical maxi dress is perfect for beach vacations, summer parties, or any warm-weather event. It can be dressed up with heels and a clutch or dressed down with sandals and a straw bag.","The buyer persona for this dress is a woman in her 20s or 30s who loves vibrant colors and tropical prints. She is confident and stylish, and she enjoys wearing pieces that make her stand out.","['yellow', 'green', 'pink']",N/A,7418268909661
A-line,Loose,"V-neck with short, puffed sleeves",Deep,Gathered at the bust with a tie detail,Puffed,Short,None,Gathered at the natural waist with a tie,Maxi,Straight,Tropical print with parrots and palm leaves,"This tropical maxi dress is perfect for summer events like beach parties, vacations, or even a casual day out. It can be dressed up with statement jewelry and heels or kept casual with flat sandals and a straw bag.","The buyer persona for this dress is a woman in her 20s or 30s who loves vibrant colors and tropical prints. She is confident and adventurous, and she enjoys wearing pieces that make her stand out.","['orange', 'green', 'blue']",N/A,7418309476445
A-line,Loose,Sweetheart neckline with thin straps,Medium,Lettuce-edge trim,Sleeveless,N/A,N/A,Fitted at the natural waist,Midi,Straight,Solid,"This solid-colored midi dress is versatile and can be dressed up or down, making it suitable for various occasions. It can be worn to work, casual outings, or even semi-formal events. Accessorize with a statement necklace or earrings to elevate the look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values versatility and style. She prefers classic, well-tailored pieces that can be easily mixed and matched with different accessories to create multiple outfits.","['orange', 'green']",N/A,7418283950173
A-line,Loose,Straight across with thin straps,Shallow,None,Sleeveless,N/A,N/A,Fitted at the natural waist with a tie,Mini,Straight,Tropical print,"This tropical-print mini dress is perfect for summer outings, beach vacations, or casual get-togethers. It can be dressed up with heels and a statement necklace for a night out or kept casual with sandals and a straw bag for a beach day.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and playful prints. She is confident, adventurous, and always looking for stylish pieces that reflect her personality.","['red', 'green', 'blue']",N/A,7418306035805
Shift,Loose,Scoop neck with shoulder pads,Shallow,None,Sleeveless,N/A,N/A,Gathered at the waist with a rope tie,Mini,Straight,Tropical print,"This tropical print mini dress is perfect for summer outings, beach vacations, or casual weekend wear. It can be dressed up with heels and a statement necklace for a night out or kept casual with sandals and a straw bag for a beach day.","The buyer persona for this dress is a young woman in her 20s who loves vibrant colors and playful patterns. She is confident, stylish, and always looking for pieces that make a statement.","['red', 'green', 'blue']",N/A,7418307280989
A-line,Loose,V-neck with thin straps,Medium,None,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Multicolor floral embroidery,"This versatile dress is perfect for a range of occasions, from casual outings to beach getaways. Its vibrant colors and intricate embroidery make it a standout piece that can be dressed up or down depending on the accessories.","The buyer persona for this dress is a woman in her late 20s to early 40s who appreciates unique, bohemian-inspired fashion. She enjoys traveling and exploring new cultures, and her wardrobe reflects her free-spirited personality.","['red', 'yellow', 'green', 'blue', 'white']",N/A,7418291093597
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",white,7418251444317
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Paisley print,"This paisley midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['red', 'orange', 'white']",N/A,7418250920029
Tiered maxi,Loose,Peter Pan collar with a V-neckline,Shallow,Embroidered scalloped edges,Puffed sleeves with elasticated cuffs,Three-quarter,Embroidered eyelet details,Gathered waist with a self-tie belt,Maxi,Ruffled,Floral embroidery,"This stunning red maxi dress is perfect for summer events, vacations, and special occasions. Its vibrant color and intricate embroidery make it a standout piece that will turn heads. Style it with neutral accessories to let the dress be the focal point.","The buyer persona for this dress is a woman in her 30s or 40s who appreciates unique, bohemian fashion. She is confident and loves to make a statement with her clothing choices.","['red', 'orange']",N/A,7418190364765
A-line,Loose,Scoop neck with wide shoulder straps,Shallow,Gathered fabric at the center,Sleeveless,N/A,N/A,Fitted at the natural waist,Maxi,Straight,Tropical fruit print,"This tropical maxi dress is perfect for beach vacations, summer parties, or casual outings. It can be dressed up with statement jewelry and heels or kept casual with sandals and a beach bag.","The buyer persona for this dress is a woman in her 20s or 30s who loves vibrant colors and tropical prints. She is adventurous, stylish, and always ready for a beach getaway.","['orange', 'green', 'white']",N/A,7418149699677
A-line,Loose,Scoop neck with short sleeves,Shallow,None,Puffed sleeves,Short,None,Loose,Mini,Straight,Floral embroidery,"This mini dress with floral embroidery is perfect for summer outings, beach vacations, or casual parties. It can be dressed up with heels and a statement necklace or kept casual with sandals and a straw bag.","The buyer persona for this dress is a woman in her 20s or 30s who loves playful, bohemian fashion. She enjoys expressing her personality through her clothing and appreciates unique, eye-catching pieces.","['white', 'green', 'orange']",N/A,7418285523037
A-line,Loose,Square neck with thin straps,Shallow,Smocking,Sleeveless,N/A,N/A,"Loose, empire waist",Maxi,Ruffled,Floral print,"This versatile maxi dress is perfect for a range of occasions, from beach getaways to casual summer parties. The loose fit and lightweight fabric make it comfortable for all-day wear, while the vibrant floral print adds a touch of elegance.","The buyer persona for this dress is a woman in her 20s or 30s who loves boho-chic style. She appreciates comfortable, flowy pieces that allow her to express her free-spirited personality.","['white', 'yellow', 'green']",N/A,7418253770845
A-line,Loose,One-shoulder,Medium,Embroidery,Sleeveless,N/A,N/A,Fitted at the natural waist,Maxi,Ruffle,Embroidered floral,"This embroidered maxi dress is perfect for special occasions like beach parties, resort wear, or even as a wedding guest outfit. Its vibrant colors and flowy silhouette make it a great choice for warm-weather events.","The buyer persona for this dress is a woman in her late 20s to early 40s who loves boho-chic style. She enjoys traveling and attending outdoor events, and she appreciates unique, eye-catching pieces that reflect her free-spirited personality.","['green', 'white']",N/A,7253501345885
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",white,7253495939165
A-line,Loose,Round neckline with three-quarter length sleeves,Shallow,None,Puffed sleeves with elastic cuffs,Three-quarter,None,Gathered at the waist with a self-tie belt,Midi,Straight,Floral embroidery,"This embroidered midi dress is versatile and can be worn for various occasions, including garden parties, weddings, and even as a guest at a formal event. It pairs well with neutral or complementary colored accessories and heels or sandals.","The buyer persona for this dress is a woman in her late 20s to early 40s who appreciates timeless, elegant fashion. She prefers pieces that can be dressed up or down, making them suitable for a range of events.","['lilac', 'purple']",N/A,7268809343069
A-line,Loose,One-shoulder with a ruffled sleeve,Medium,Embroidered details,"Loose, off-the-shoulder sleeve",Short,Ruffle,Fitted at the natural waist,Maxi,Tiered,Paisley print,"This stunning maxi dress is perfect for special events, vacations, or a night out. The vibrant colors and intricate embroidery make it a show-stopper. Pair it with chunky heels and a bold clutch for a chic and unforgettable look.","The buyer persona for this dress is a woman in her 30s to 40s who loves bold colors and statement pieces. She is confident and stylish, and she enjoys dressing up for any occasion.","['yellow', 'orange', 'white']",N/A,7268820942941
A-line,Loose,V-neck with thin straps,Medium,None,Sleeveless,N/A,N/A,Cinched at the natural waist,Mini,Straight,Paisley print,"This versatile mini dress is perfect for a range of occasions, from casual outings to beach vacations. It can be dressed up with heels and a statement necklace for a night out or paired with sandals and a straw bag for a relaxed daytime look.","The buyer persona for this dress is a woman in her 20s to 30s who loves boho-chic style. She is drawn to vibrant colors, unique prints, and carefree silhouettes that reflect her adventurous and free-spirited personality.","['yellow', 'white', 'blue']",N/A,7268813930589
A-line,Loose,Sweetheart neckline with ruffled straps,Medium,Ruffle trim,Sleeveless,N/A,N/A,Fitted at the natural waist,Midi,Ruffle,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['yellow', 'white', 'green']",N/A,7268906434653
A-line,Loose,Scoop neck with wide straps,Shallow,None,Sleeveless,N/A,N/A,"Loose, empire waist",Maxi,Straight,Solid,"This solid-colored maxi dress is versatile and can be dressed up or down, making it suitable for various occasions. It can be worn for casual outings, beach days, or even semi-formal events with the right accessories.","The buyer persona for this dress is a woman in her 20s to 30s who values comfort and versatility. She prefers minimalistic, easy-to-wear pieces that can be styled in multiple ways.",['pink'],N/A,7268800462941
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",white,7268865802333
